address,choice,balance,timestamp,dateUtc,authorIpfsHash,relayerIpfsHash
0x0800BA02229e593b8b71fd03a0075d3F344010F1,2,0.000665538790936854,1620477698,"Sat, 08 May 2021 12:41:38 GMT",QmNaej3QeXqA8Xu1eA7ZinhQa4GWwP8zQq3UcNrR1byoRD,QmQrXri9uFpiBZEZX6p1BxxpZpakW222QitTfev13seAyG
0x180a4B29ffB8d8d3a97cE43B85AFB56531B24F20,2,0.00066553865819179,1620477715,"Sat, 08 May 2021 12:41:55 GMT",QmQ9jMZstfyC3RyZtiwnQ5LgQW3RLLvQ9VSXxqkZXbTBoP,QmacEKKiq9wa8n6yPJTAd1kfBHNpCUvph3DJGkzUFqcbvu
0xe8Cd7205E53462e2c0cB87fA11bb9D6fAdF13204,2,0.000665538525446766,1620477737,"Sat, 08 May 2021 12:42:17 GMT",QmQ3HMyBFDomCiY5QpCNWSHKg5BnjKhnQELh7JkPqSEhQ5,QmSfcCn91p3yTNqDsrxTsGA4Uq8aem6XhAiLDSE846braT
0x5A21376F13DDBf114D5BF42315475F99a39743d5,2,0.000665538392701781,1620477751,"Sat, 08 May 2021 12:42:31 GMT",QmaffBBW6GHXToU1s7CbuUGnM1ygTF9fVGESjzbh8LztcB,QmUBjLm9ZxTu9vq7wJrcscU4UURu4BfjZaKvhi1QV6ZyfN
0x391823ac011C7EebA831eA65C82a19B8a640a6E4,2,0.000665538259956837,1620477783,"Sat, 08 May 2021 12:43:03 GMT",QmQUku8428VWF34Uu2jBJLg3TEvVm87KxJkktKSdjhU9mc,QmX7riJawS1fj1mb1zG4qgsb7GuyxKNf4ZtidSBeZGcpoG
0x1e7aF32E5dACd50cbB8a06e61e28e6a4a1eF0858,2,0.000665538127211932,1620477900,"Sat, 08 May 2021 12:45:00 GMT",QmRoHy3w8gKKpucZdvr56t9uvxvWwtDAwVZfQbwLaxiS5P,QmV8eHA8BXY3cENSYKeDDFHAZbrNbVYH12d9TtBvTou9Lw
0x88729Ed327b25eAaeb55d600011815C61Ab891E8,2,0.000665537994467067,1620477944,"Sat, 08 May 2021 12:45:44 GMT",QmWm1S2ANScFv61xYaYkpqnH7gHMsbFU5YehNMhjDqt8Wa,QmXV7SV2QkJ9i7Jy3LrZDFJ3d43UeMfYuZJzRMKH6t5ZgV
0x4F119Caa6C9d3B36800EDf4892CF716d89ca7aAF,2,0.000295794621573513,1620477961,"Sat, 08 May 2021 12:46:01 GMT",QmSdcE2HUz2gWKpXwSNhwY5sHwFTCWYdkvC74HsnoTKz95,QmRNDzF4hoWHKKmbqBqHaz8PssDEtD2nfpN4wQufJHy326
0xF957c6bb5Bff03926d504059443074948C481C57,1,4505.663828422667,1620484366,"Sat, 08 May 2021 14:32:46 GMT",QmTXwnFcxogwBrFYniTfE8p1BtyzrnuMqu1hohGNrYuho1,Qme48uWeW3PY2XsuNTBwzgwcB5xq4X3K1fbrhZbNHDL4nR
0xf6CcC50466F72f686f93e85922013522B0c7C2cE,2,19514.590836445892,1620484739,"Sat, 08 May 2021 14:38:59 GMT",QmYX9QyZehrELJFKjv6EieqxfEVR5PcEXkt6wWuapVTgMt,QmQBTdQm322Wmd5biDhcWsE9prtcVu3LwumRyodbjB5PMH
0xAf194DFaBeAC464d60038554b62A5FfAb304247E,1,11450.424891988256,1620486053,"Sat, 08 May 2021 15:00:53 GMT",QmNpo2F1Q9PiagDNaxmoUDM8YUoqZovQVyP9ZZ1dXssuUo,QmRjM5E4H6W5rjrDgGsG4ARckJz7bmZbTYQg35rqqQKq7y
0x18436468c2a6A717667D68ddeD502772709d57c5,1,5197.918578399809,1620486824,"Sat, 08 May 2021 15:13:44 GMT",QmZYAscP9N4FNVN8jnNY9Fio7JKbgaTN1rWL3YJQoNbcTr,QmXMEbRsBqmZsoPs3AQXPLqz5fEP4s1nADp4vzz7YiMh8w
0xe2E9585f9d9d055Ec8efDa3bBF209e381F3F37ef,1,1.3076971157587116,1620490499,"Sat, 08 May 2021 16:14:59 GMT",QmS9KLqtgD7hcfEWq2aEtnHxYhtNkbe832T5xDsQ61jWed,QmcMBq46LuLKjUZMrXXZYdhYTWFzDbTk5jHzosiGAZS4eW
0x3e2178CF851A0e5cbF84c0ff53f820ad7EAD703b,1,200.00006135366257,1620497944,"Sat, 08 May 2021 18:19:04 GMT",QmZRKrBn8Wsmvzur5jtvLyhph6gEFzo8FiqyoaYNjXDMbD,Qmca9eFNXEC2emq2x4PsPZamMMxiLxSgZQu5abuh7motmc
0x8622bd4dC0D000D74F7aa453F6A86BA2eeB64e4b,2,10,1620504018,"Sat, 08 May 2021 20:00:18 GMT",QmSPGCu7RAkfJqFZZ3bQHWPdbfnnU3BDvLgAwKovsAsMTK,Qma1aqxfpLK3QzMCriv3JqtRyLdj9i67Wf8tatcFRSRMuQ
0x08C91b9d1927c23C000b47441c656eD8eB6C9867,2,201.9786191594197,1620521716,"Sun, 09 May 2021 00:55:16 GMT",QmQwT2z6DkziRhJQXJJh11M1sTQSk75aLNmn2C9Knixbbt,QmVNkvk5eqtXyoEF9CmRMgDzaKnRKNXdipXk7FUKRXoiiE
0x48b0320c7E9Fc671841a713156dA73df75765c66,1,1.043,1620527371,"Sun, 09 May 2021 02:29:31 GMT",Qmaxm8wcZKAJKC29XKLaF3gMj1KVg1DUPhHN8Q6pqTbdAC,QmSsyzi7N44kmYbthmkGe8BjnTcoyjE8imfUBJk9Wq7TBX
0x164bA6d1E6DD5F937908C34137D271ea3852C214,2,273.018372048293,1620529235,"Sun, 09 May 2021 03:00:35 GMT",QmVPDhjDProiYJoyrYAZ9Gq8XwNw6vCSFRb6rdqBgr3Jej,QmYfU7FuRiGQqdod1q4pDkp95XWyKrxT4iQftgf2BzZTWB
0x16B6FA7a8F2Df613079B86b4eC861Abe4aBce501,2,101.18918645531951,1620529416,"Sun, 09 May 2021 03:03:36 GMT",QmYvcaBBkw3LruZFmce4BtCwTmZPshdqH7Egh8aqkD8QPQ,QmdKfPU3pH76unCLRdtS8FFMyr63ypgDTdCPaYoCRSSAZG
0xDecc5AAa3b97482097B54C2cC3E8cd9ac8eD4821,1,4517.387122235486,1620538360,"Sun, 09 May 2021 05:32:40 GMT",Qmb12WSGQNfL7WRKhnoTEh4zjLD1cQ8VMmEcV87jTCQwfA,QmadsJKuFFHbHce9hEGthFUNWQHEdmDk6gEbnZTMmx9smG
